,id,location,name,link,location_new,x,y
12993,12079,"40.75529861,-73.99250031",319 West 38th Street,/building/319-west-38-street-new_york,"['40.75529861', '-73.99250031']",40.75529861,-73.99250031
12994,12084,"40.75669861,-73.99349976",532 Ninth Avenue,/building/532-9-avenue-manhattan,"['40.75669861', '-73.99349976']",40.75669861,-73.99349976
12995,402,"40.70809937,-74.00479889",46 Fulton Street,/building/46-fulton-street-manhattan,"['40.70809937', '-74.00479889']",40.70809937,-74.00479889
12996,12110,"40.75680161,-73.99359894",534 Ninth Avenue,/building/534-9-avenue-manhattan,"['40.75680161', '-73.99359894']",40.75680161,-73.99359894
12997,722,"40.71459961,-74.00759888",94 Chambers Street,/building/94-chambers-street-manhattan,"['40.71459961', '-74.00759888']",40.71459961,-74.00759888
12998,841,"40.71689987,-74.00859833",157 Duane Street,/building/157-duane-street-new_york,"['40.71689987', '-74.00859833']",40.71689987,-74.00859833
12999,14032,"40.75059891,-73.98509979",29 West 36th Street,/building/29-west-36-street-manhattan,"['40.75059891', '-73.98509979']",40.75059891,-73.98509979
13000,846,"40.71730042,-74.00879669",44 Hudson Street,/building/44-hudson-street-new_york,"['40.71730042', '-74.00879669']",40.71730042,-74.00879669
13001,14039,"40.75019836,-73.98429871",7 West 36th Street,/building/7-west-36-street-manhattan,"['40.75019836', '-73.98429871']",40.75019836,-73.98429871
13002,6237495,"40.7173996,-73.99620056",62 Elizabeth Street,/building/62-elizabeth-street-new_york,"['40.7173996', '-73.99620056']",40.7173996,-73.99620056
13003,5988661,"40.72520065,-74.0039978",158 Avenue of the Americas,/building/158-avenue-of-the-americas-new_york,"['40.72520065', '-74.0039978']",40.72520065,-74.0039978
13004,2599,"40.71390152,-73.98570251",241 Henry Street,/building/241-henry-street-manhattan,"['40.71390152', '-73.98570251']",40.71390152,-73.98570251
13005,30418,"40.79109955,-73.94529724",1906 Third Avenue,/building/1906-3-avenue-manhattan,"['40.79109955', '-73.94529724']",40.79109955,-73.94529724
13006,2605,"40.71429825,-73.98570251",253 East Broadway,/building/253-east-broadway-manhattan,"['40.71429825', '-73.98570251']",40.71429825,-73.98570251
13007,2606,"40.71419907,-73.9858017",251 East Broadway,/building/251-east-broadway-manhattan,"['40.71419907', '-73.9858017']",40.71419907,-73.9858017
13008,30442,"40.79259872,-73.94629669",1698 Lexington Avenue,/building/1698-lexington-avenue-manhattan,"['40.79259872', '-73.94629669']",40.79259872,-73.94629669
13009,17815,"40.76169968,-73.99299622",448 West 46th Street,/building/448-west-46-street-manhattan,"['40.76169968', '-73.99299622']",40.76169968,-73.99299622
13010,17835,"40.76169968,-73.99189758",433 West 46th Street,/building/433-west-46-street-manhattan,"['40.76169968', '-73.99189758']",40.76169968,-73.99189758
13011,17838,"40.76150131,-73.99150085",417 West 46th Street,/building/417-west-46-street-manhattan,"['40.76150131', '-73.99150085']",40.76150131,-73.99150085
13012,3612,"40.7254982,-73.97730255",402 East 10th Street,/building/402-east-10-street-manhattan,"['40.7254982', '-73.97730255']",40.7254982,-73.97730255
13013,31302,"40.78939819,-73.94309998",2026 Second Avenue,/building/2026-2-avenue-manhattan,"['40.78939819', '-73.94309998']",40.78939819,-73.94309998
